Accession Number,X = Inventoried,Genus,Species,Country,Date,Collector,UUID,Verified
A43158,X,Chorda,filum,Canada,1969 Jul 19,Richard D. Hill,22BD183E-DA86-984B-9E55-9DA2D5000357,11/10/2019
A37702,X,Chorda,filum,United States,1967 Jul 20,J. R. Stein,5E165A1B-37C9-1C42-B59D-2E7358D8F93F,11/10/2019
A211,X,Chorda,filum,United States,1936 Jun 28,M. R. Armstrong,241C435E-4211-5341-A606-E6BB59678ED2,11/10/2019
A25321,X,Chorda,filum,United States,1966 Jun 22,J. R. Stein,809BA4E0-079F-7247-9926-BB2209D94070,11/10/2019
A37770,X,Chorda,filum,United States,1952 Jul 18,J. R. Stein,A9A13022-12DE-B141-ABFF-8FE8B850BEA6,11/10/2019
A37701,X,Chorda,filum,United States,1967 Jun 26,J. R. Stein,BB42807B-1712-454B-AA4A-61CC1227CE7E,11/10/2019
A4581,X,Chorda,filum,Unknown,1931 Apr,None,92A7ECB1-22F9-8C4D-88DB-F44BAF60CCA7,11/10/2019
A51383,X,Chorda,filum,Japan,1913 Sep,K. Wada,A186FCA0-49B7-6848-9C33-41E5C1BF820E,11/10/2019
A7687,X,Chorda,filum,Sweden,1914 Jun,Gunnar Sjostedt,9EB0F6A4-41C5-534D-9FBC-2C69813FD075,11/10/2019
A23887,X,Chorda,filum,Sweden,1946 Jul 18,Tore Levring,F085ECAC-CC8A-5D42-BCA5-C04FD700129E,11/10/2019
A8138,X,Chorda,filum,United States,1960 Jun 20,Tom B. Widdowson,2D25F4B2-A5F8-0C42-AC0C-E887BC9F00F8,11/10/2019
A8137,X,Chorda,filum,United States,1960 Jun 20,Tom B. Widdowson,7C1F27AD-88FF-C14E-A1EA-7BB362C01B18,11/10/2019
A8142,X,Chorda,filum,United States,1960 Jun 20,Tom B. Widdowson,3D8DEC7B-8844-C745-BB78-0FFA56A37A45,11/10/2019
A8140,X,Chorda,filum,United States,1960 Jun 20,Tom B. Widdowson,586524CA-3E93-494A-B0BA-C3F666E7F9A1,11/10/2019
A14318,X,Chorda,filum,United States,1960 Jul 09,Tom B. Widdowson,4A94C5B0-ADA4-B045-A475-266A59FE7883,11/10/2019
A14319,X,Chorda,filum,United States,1960 Jul 09,Tom B. Widdowson,9B85B287-09C2-E040-8EB1-215813361DDD,11/10/2019
A9630,X,Chorda,filum,United States,1960 Jun 26,Tom B. Widdowson,5E594685-9442-4242-9EA1-29A1A88DDD11,11/10/2019
A9732,X,Chorda,filum,United States,1960 Jul 06,Tom B. Widdowson,1D65B3B2-B281-CE49-B26D-E124BA12102A,11/10/2019
A9731,X,Chorda,filum,United States,1960 Jul 06,Tom B. Widdowson,28AB0CB2-6449-D349-8836-252A9D3F660F,11/10/2019
A13695,X,Chorda,filum,United States,1960 Jul 06,Tom B. Widdowson,7F574959-4003-D64C-94E7-6260BAFC5BA7,11/10/2019
A26126,X,Chorda,filum,United States,1966 Jul 12,Gordon Robin South,535ED612-0E90-B34E-AE08-C414304148FA,11/10/2019
A26127,X,Chorda,filum,United States,1966 Jul 12,Gordon Robin South,5A38FD32-ADDE-6349-AF51-27FC6611A4FA,11/10/2019
A26373,X,Chorda,filum,United States,1966 Jul 13,Patrick Chamut,8CCA4D18-97A2-C841-BC78-09BEDB73BBC1,11/10/2019
A27414,X,Chorda,filum,United States,1966 Jul 23,Gordon Robin South,FC13567B-5670-9A44-91E1-B35DAF5B4534,11/10/2019
A27413,X,Chorda,filum,United States,1966 Jul 23,R. Hill,5484AF80-D666-1848-A8D2-73CF28EF818E,11/10/2019
A52590,X,Chorda,filum,Canada,1966 Jan 26,Peter R. Newroth,3E619AC6-572E-1F40-86D4-BEECAC39E098,11/10/2019
A67285,X,Chorda,filum,Japan,1982 May 19,Michael W. Hawkes,7797C876-F10D-1E4C-BC0B-C763905A51A3,11/10/2019
A70655,X,Chorda,filum,Denmark,1989 Jun 01,R. Nielsen,2B680229-8FC7-3E44-8AEC-4213BE4DB28D,11/10/2019
A69990,X,Chorda,filum,United States,1966 Jun 22,J. R. Stein,E763F676-EEFB-F246-B89B-247958E5BD63,11/10/2019
A82741,X,Chorda,filum,Japan,1991 May 30,S. Enomoto,31A8EC94-7EE2-4C47-968C-DA3236B36729,11/10/2019
A82742,X,Chorda,filum,Japan,8/5/1990,S. Enomoto,914C341E-6C99-7049-8389-0D1FB86A6F14,11/10/2019
A84564,X,Chorda,filum,Japan,1996 May 13,Mitsuo Kajimura,A12EA2C2-0E6C-EE4A-B060-C96A9D62BDD0,11/10/2019
A84669,X,Chorda,filum,Japan,1999 Jun 06,T. Kitayama,A66E8F0B-8C46-C748-9D75-E1F4D3E35F6A,11/10/2019
A85199,X,Chorda,filum,United States,2002 Jul 07,S.C.Lindstrom,88EE6241-D96E-3047-826D-3E50245E3B13,11/10/2019
A85517,X,Chorda,filum,United States,2005 Jun 22,Mandy R. Lindeberg,BF6A25F0-AE11-9748-9844-9CD916CF1A54,11/10/2019
A85945,X,Chorda,filum,United States,2006 Jun 17,Roly Russell,36E707A9-3FFE-0D4B-B419-DF603260C2C6,11/10/2019
A86923,X,Chorda,filum,United States,2003 Jul 01,Sandra C. Lindstrom,016BB61F-E721-D340-B023-3020266C5356,11/10/2019
A86965,X,Chorda,filum,United States,2004 Jul 30,Sandra C. Lindstrom,878869C7-2415-C145-9E2E-58876FEBD169,11/10/2019
A86980,X,Chorda,filum,United States,2004 Jul 31,Sandra C. Lindstrom,CDF944D1-B3CF-AC46-8708-D6694EF09EA9,11/10/2019
A87652,X,Chorda,filum,New Zealand,2008 Mar 17,Mitsuo Kajimura,7980FCA7-3C96-574F-B8F0-0F0758839701,11/10/2019
A88390,X,Chorda,filum,Norway,2004 Jun 23,Sandra C. Lindstrom,2A12EEBE-B35D-D046-9EB9-E3A330109E9C,11/10/2019
A89203,X,Chorda,filum,United States,2008 Aug 07,Sandra C. Lindstrom,3817F457-AD76-7241-BC7E-075A108CD28E,11/10/2019
A90161,X,Chorda,filum,United States,2012 Aug 29,Sandra C. Lindstrom,F8CCCE80-EAE8-AC49-BAF5-4790DEF2820C,11/10/2019
A91008,X,Chorda,filum,United States,2008 Aug 06,Sandra C. Lindstrom,FBA2AFB9-83E0-804B-A1D3-7752E7CD0D38,11/10/2019
A91059,X,Chorda,filum,United States,2013 Jul 25,Sandra C. Lindstrom,5F7E972F-197A-BB43-A72A-8F451D506DA9,11/10/2019
A91094,X,Chorda,filum,United States,2013 Jul 22,Sandra C. Lindstrom,099E282B-71EC-1044-8EF4-C78DF4DA0FF1,11/10/2019
A91196,X,Chorda,filum,United States,2009 Aug 10,David Ward,F4F15FFC-5988-D048-B2A3-2E4D08673480,11/10/2019
A26613,X,Chorda,tomentosa,United States,1966 May 02,Arthur C. Mathieson,6DDD5666-F5FA-CA44-B534-03371102C719,11/10/2019
A51149,X,Chorda,tomentosa,Canada,1973 Jul 01,R. Hooper,F0E81FDA-BD83-A04F-A4A7-B81CA1593798,11/10/2019
A33811,X,Chorda,tomentosa,Canada,1968 May 20,Gordon Robin South,B223FB9C-12FE-484F-9F28-7B1DC9E4DFA3,11/10/2019
A66333,X,Chorda,tomentosa,Sweden,1946 Mar 29,H. Kylin,83E7D8A5-6AE7-6F48-80B5-13EEA8600C2C,11/10/2019
A68383,X,Colpomenia,bulbosa,Japan,1985 Mar 21,J. Tanaka,2311E34A-F8A1-8F49-A0E5-C54388A3B27D,11/10/2019
A60772,X,Colpomenia,bullosa,Canada,1979 Jul 18,David J. Garbary,B4146FD0-32B6-594E-9B6F-F90D8CB6A267,11/10/2019
A20553,X,Colpomenia,bullosa,United States,1965 Jun 12,Arthur C. Mathieson,87FBC2E9-C430-2048-B657-7EF34FBCD4C5,11/10/2019
A50182,X,Colpomenia,bullosa,Japan,1973 Mar 13,Louis D. Druehl,4D28870B-B83C-A845-A5C6-0E8092E4CC0F,11/10/2019
A5504,X,Colpomenia,bullosa,Japan,1957 Feb 05,M. Kurogi,6793F123-C77E-1341-9A60-C98BF73CF0F2,11/10/2019
A7334,X,Colpomenia,bullosa,Japan,1954 Feb 22,S. N.,77A0071A-DD62-B945-A6AF-ECCAD23C1E34,11/10/2019
A56346,X,Colpomenia,bullosa,Japan,1949 Jun 02,Y. Nakamura,394B5881-E7EE-3D4E-B0AF-DAB6E0D45C10,11/10/2019
A53782,X,Colpomenia,bullosa,Japan,1975 Mar 04,M. Kajimura,BF9FC05F-1C90-164D-9743-5A5B2A76E8C1,11/10/2019
A26375,X,Colpomenia,bullosa,United States,1966 Jul 14,Patrick Chamut,EE6B947B-5AC0-FB40-9211-C70AF5E7B721,11/10/2019
A17117,X,Colpomenia,bullosa,Canada,1962 Jun 29,Tom B. Widdowson,35DEF909-FA1B-BA49-97F9-67DB25E7D5B9,11/10/2019
A15848,X,Colpomenia,bullosa,Canada,1962 Jun 30,Tom B. Widdowson,3492FDF4-988F-D84C-8B2D-B7360C669EE0,11/10/2019
A15839,X,Colpomenia,bullosa,Canada,1962 Jun 30,Tom B. Widdowson,986E4855-5449-1D48-8D3A-86A740CF692F,11/10/2019
A15938,X,Colpomenia,bullosa,Canada,1962 Jul 04,Tom B. Widdowson,98BA4507-74A6-BB42-A92C-F614D519756C,11/10/2019
A15080,X,Colpomenia,bullosa,Canada,1962 Jul 04,Tom B. Widdowson,6D34605C-BC0F-8149-B39A-E456F7B6FFF6,11/10/2019
A17858,X,Colpomenia,bullosa,Canada,1964 Jun 08,Robert K.S. Lee,B8E206F5-04BE-E843-ABA7-2A09F9ECC4EA,11/10/2019
A17800,X,Colpomenia,bullosa,Canada,1964 Jun 08,Robert K.S. Lee,A5325019-77A1-B547-A26B-CE5CA4BF3460,11/10/2019
A17807,X,Colpomenia,bullosa,Canada,1964 Jun 09,Arthur C. Mathieson,EC471472-518E-1E49-86A4-89356A7A1638,11/10/2019
A19737,X,Colpomenia,bullosa,Canada,1964 Oct 06,Arthur C. Mathieson,1D447412-8E1D-2A49-B1BC-1DB92DA6B074,11/10/2019
A19177,X,Colpomenia,bullosa,Canada,1964 Oct 07,Robert K.S. Lee,0D1C00CF-B27B-1743-B457-378CCE6BEE97,11/10/2019
A57267,X,Colpomenia,bullosa,Canada,1977 May 06,Eric Henry,F255C8F6-AB55-7C43-94E8-20D4BF38EC0C,11/10/2019
A43871,X,Colpomenia,bullosa,Canada,1970 Sep 11,Danny R. Pace,321433B9-6DC2-9945-BB60-D6EE0ECE229B,11/10/2019
A45614,X,Colpomenia,bullosa,Canada,1971 May 12,Julie L. Celestino,FF125C59-379E-2F4A-AA52-D9D7A6D85756,11/10/2019
A61707,X,Colpomenia,bullosa,Canada,1980 Apr 17,Gayle I. Hansen,B9CDECB2-B4DA-684F-ACBF-7DD111DE23F2,11/10/2019
A7576,X,Colpomenia,bullosa,Canada,1959 Aug 05,Robert F. Scagel,1A8F3663-3B73-AE44-8109-E01940E2CB50,11/10/2019
A62369,X,Colpomenia,bullosa,Canada,1980 May 30,Larry T. Golden,44F1CEDA-EDE6-B74A-BF58-573D5885DB12,11/10/2019
A62425,X,Colpomenia,bullosa,Canada,1980 Jul 27,David J. Garbary,87A7F002-D1C5-264D-8A96-64DA6510EF95,11/10/2019
A53682,X,Colpomenia,bullosa,Canada,1970 May 04,R. G. Hooper,D5696EC5-9854-AB46-91B1-E699855FB41D,11/10/2019
A47022,X,Colpomenia,bullosa,Canada,1972 Jun 28,J. Turney,5776E87D-B90B-7040-96CF-D74659F26C67,11/10/2019
A28928,X,Colpomenia,bullosa,Canada,1967 Apr 27,Gordon Robin South,9C0ACFC3-5E6D-C14C-9E3F-18D7B294CB27,11/10/2019
A30366,X,Colpomenia,bullosa,Canada,1967 Jun 20,Patrick Chamut,92585B2F-7E16-AC41-853B-2B852BB73C9E,11/10/2019
A30324,X,Colpomenia,bullosa,Canada,1967 Jun 10,Patrick Chamut,20123D0C-1A4A-F147-82DA-6AF98300351C,11/10/2019
A22538,X,Colpomenia,bullosa,United States,1965 Jun 11,Arthur C. Mathieson,A7920475-14EC-CB45-8D51-1BBA625D5CF1,11/10/2019
A20525,X,Colpomenia,bullosa,United States,1965 Jun 12,Arthur C. Mathieson,8846A1A2-AB2D-6845-82C9-B946195F0495,11/10/2019
A67618,X,Colpomenia,bullosa,United States,1984 Jun 30,Robert F. Scagel,A2976C30-9A2D-4B41-9B42-5FF87954C99C,11/10/2019
A23669,X,Colpomenia,bullosa,Canada,1979 Apr 30,Herb Vandermeulen,F31557F7-134C-3047-B0EE-A87B7064D1A8,11/10/2019
A23665,X,Colpomenia,bullosa,United States,1979 Sep 08,Wendy Nelson,7BBFCD06-D189-1D4A-9EDD-21C3FC3A24D1,11/10/2019
A22491,X,Colpomenia,bullosa,Canada,1979 Oct 30,Herb Vandermeulen,34AAC0E8-57F5-F34D-9917-92EC0E3DF63B,11/10/2019
A22474,X,Colpomenia,bullosa,Canada,1981 Apr 26,Herb Vandermeulen,E8CFC108-A3D9-5747-BEFA-4FDB2620B843,11/10/2019
A67946,X,Colpomenia,bullosa,United States,1977 Jun 03,Sandra C. Lindstrom,8BE7B39A-F051-194A-8E96-35AF3592879E,11/10/2019
A68238,X,Colpomenia,bullosa,Canada,1984 Jun 13,Sandra C. Lindstrom,3CCFD88B-0FC8-C744-A585-177F6C46EA3D,11/10/2019
A69762,X,Colpomenia,bullosa,United States,1981 Jul 01,Sandra C. Lindstrom,54C6A780-F9B3-1941-AA53-9E8C9662C2DD,11/10/2019
A70110,X,Colpomenia,bullosa,United States,1981 May 31,Sandra C. Lindstrom,1FE0D41D-721C-4045-8E8D-F616FD063271,11/10/2019
A66851,X,Colpomenia,bullosa,Canada,1982 Apr 11,Michael W. Hawkes,991B8AFC-CB3D-4B42-A15F-219C8488AE91,11/10/2019
A82661,X,Colpomenia,bullosa,Japan,1989 Apr 03,S. Enomoto,42D46FAE-8466-A540-95E6-E0BAE788EBE7,11/10/2019
A84765,X,Colpomenia,bullosa,United States,2/7/2000,Sandra C. Lindstrom,2F603810-0D9E-1842-93FF-68A29CB7BA5A,11/10/2019
A84565,X,Colpomenia,bullosa,Japan,1987 Jul 03,Mitsuo Kajimura,8763E207-60BB-4442-A78C-186DB2CE46DC,11/10/2019
A85460,X,Colpomenia,bullosa,Canada,2006 May 27,Rochelle Mothokakobo,4F70C8DB-E7C5-2D4F-9721-0073E798F44C,11/10/2019
A85692,X,Colpomenia,bullosa,Canada,2007 May 17,Sandra C. Lindstrom,530E928C-DD77-4C47-98C6-B505E7D1B446,11/10/2019
A85704,X,Colpomenia,bullosa,Canada,2007 May 18,Sandra C. Lindstrom,EEEF96A5-D8B4-1C44-B399-7EEBED00F2D1,11/10/2019
A86586,X,Colpomenia,bullosa,United States,2005 Jun 23,Sandra C. Lindstrom,C92BEC01-0018-9740-8F99-7EDB3A7641A8,11/10/2019
A86732,X,Colpomenia,bullosa,United States,2005 May 22,Sandra C. Lindstrom,87853DDE-2D20-F149-B40B-F133462F8EE7,11/10/2019
A86791,X,Colpomenia,bullosa,United States,2005 May 24,Sandra C. Lindstrom,7CC941E4-BB00-6849-9135-DCAE4E3B9481,11/10/2019
A87905,X,Colpomenia,bullosa,Canada,2009 May 26,Sandra C. Lindstrom,56C6D67C-D6A1-1243-8F35-B53B3E134D45,11/10/2019
A88173,X,Colpomenia,bullosa,United States,2005 Jun 03,Sandra C. Lindstrom,22D017E9-104F-0847-A8C2-0BA861BEABF3,11/10/2019
A88175,X,Colpomenia,bullosa,United States,2005 Jun 03,Sandra C. Lindstrom,F2CD0991-A958-794C-B802-D60CCF730ED9,11/10/2019
A89152,X,Colpomenia,bullosa,United States,2011 Apr 22,Sandra C. Lindstrom,D588E2AA-76D2-074B-A63B-E33E7419E50E,11/10/2019
A93103,X,Colpomenia,bullosa,Canada,2013 Apr 27,Sandra C. Lindstrom,41AE78F2-EF65-CE4D-905E-A7DCA3234796,11/10/2019
A80544,X,Colpomenia,bullosa,United States,1989 Jul 30,Sandra C. Lindstrom,75162AB6-CB4B-3A45-AC3A-5696F7A1DDEA,11/10/2019
A92693,X,Colpomenia,bullosa,United States,2016 May 25,Sandra C. Lindstrom,55C2BC2E-14DE-0941-B94E-2D3C29699984,11/10/2019
A92704,X,Colpomenia,bullosa,United States,2016 May 26,Sandra C. Lindstrom,A29398FD-EC0E-4D46-A828-FBEA03528666,11/10/2019
A92795,X,Colpomenia,bullosa,Canada,2015 Jun 14,Sandra C. Lindstrom,1ABB33A8-586F-4849-AF4B-58B22A6C91EE,11/10/2019
A93592,X,Colpomenia,bullosa,Canada,2017 May 26,Patrick T. Martone,757C042A-FC33-E240-B876-00B1D5C14146,11/10/2019
A23640,X,Costaria,costata,United States,1965 Jun 30,J. Green,A0EFB22E-70F0-C04B-BE59-E79483645420,11/10/2019
A53508,X = Inventoried,Colpomenia,peregrina,United States,1975 Mar 29,Thomas F. Mumford Jr.,D1F1171E-B1D6-2A49-96C5-27F469FDA1B3,11/10/2019
A60387,X = Inventoried,Colpomenia,peregrina,United States,1949 Jun 12,Robert F. Scagel,475BBD03-C7B6-4943-9F75-1DAF45BD3431,11/10/2019
A235,X = Inventoried,Colpomenia,peregrina,United States,1949 Jul 07,Robert F. Scagel,68A2FAF3-3116-5A4D-9045-D041BC045838,11/10/2019
A230,X = Inventoried,Colpomenia,peregrina,United States,1949 May 28,Robert F. Scagel,3F8E705F-1432-F94B-AE67-62A157021706,11/10/2019
A56343,X = Inventoried,Colpomenia,peregrina,United States,1960 Jun 11,J. R. Stein,CD519A3B-1874-7C4E-9402-138AFD16491B,11/10/2019
A59471,X = Inventoried,Colpomenia,peregrina,Australia,1934 Oct,C. M. Crosby,52B15A85-6025-6E47-B756-EA9570254C65,11/10/2019
A59607,X = Inventoried,Colpomenia,peregrina,Australia,1912 Sep,Josephine E. Tilden,C466B7BD-E4C8-DC42-B651-061CFFD84F26,11/10/2019
A9101,X = Inventoried,Colpomenia,peregrina,Australia,1981 Aug 23,David J. Garbary,D2AFFF55-3747-7245-824F-3ACC56759823,11/10/2019
A21532,X = Inventoried,Colpomenia,peregrina,United States,1979 Aug 08,Herb Vandermeulen,B23EC608-C48C-494B-9DC7-39C36967FD7C,11/10/2019
A22525,X = Inventoried,Colpomenia,peregrina,United States,1979 Aug 08,Herb Vandermeulen,BB0F2B8D-876F-2F40-920F-339E823E37EB,11/10/2019
A21069,X = Inventoried,Colpomenia,peregrina,United States,1979 Aug 09,Herb Vandermeulen,36167EB5-CC5B-1747-B70D-37FC832C9A42,11/10/2019
A21046,X = Inventoried,Colpomenia,peregrina,Japan,1982 May 19,Michael W. Hawkes,7BF59483-1D54-C046-88E4-0451C022B348,11/10/2019
A68482,X = Inventoried,Colpomenia,peregrina,United States,"August 27, 19886",P. Gabrielson,CCD7C722-356B-664A-B713-68D78234E04C,11/10/2019
A69197,X = Inventoried,Colpomenia,peregrina,Australia,1986 Sep 07,H.B.S. Womersley,230712FF-F520-824D-935F-39DEEB8681D4,11/10/2019
A70633,X = Inventoried,Colpomenia,peregrina,Denmark,1988 Sep 01,Ruth Nielsen,1A588195-6524-E140-80E5-08FF4B2542C6,11/10/2019
A70718,X = Inventoried,Colpomenia,peregrina,United States,1986 Aug 27,Paul W. Gabrielson,CB3C8289-3D71-C848-ABA3-62B483D378AF,11/10/2019
A89366,X = Inventoried,Colpomenia,peregrina,Japan,2000 Apr 21,T. Kitayama,2BB43119-C45B-3448-9854-56B4CB4830E8,11/10/2019
A5398,X = Inventoried,Colpomenia,ramosa,Mexico,1934 Mar 10,Wm. R. Taylor,9735E605-F059-414E-9DBE-9DCA05C72DEF,11/10/2019
A56345,X = Inventoried,Colpomenia,ramosa,Mexico,1947 Feb 03,E. Y. Dawson,66D514AA-D208-634C-B2F7-6F8228226017,11/10/2019
A5388,X = Inventoried,Colpomenia,ramosa,Costa Rica,1939 Mar 24-25,Wm. R. Taylor,C6805C3A-E38F-AE45-8DAC-766A66FC7F8E,11/10/2019
A56340,X,Chnoospora,minima,United States,1962 Nov 05,Roy Tsuda,C1726706-1F2D-4146-AC2B-7D941CD1AF9F,11/10/2019
A5838,X,Chnoospora,minima,Chile,1959 Oct 04,E. Yale Dawson,FD2E4FED-6FA4-104B-9C3B-6FF41C8DBA29,11/10/2019
A6674,X,Chnoospora,minima,United States,1959 Oct 28,M. Doty,FFD81441-0D07-A545-9200-B00558F61E69,11/10/2019
A25187,X,Chnoospora,minima,United States,1982 Nov 12,Valerie Halpin,879594FC-C0A7-6F41-B539-EB3F45E4A617,11/10/2019
A68784,X,Chnoospora,minima,South Africa,1962 Nov 30,George F. Papenfuss,04E05552-65E5-A044-B66D-206BDE0A33D7,11/10/2019
A86428,X,Chnoospora,minima,United States,1967 Jul 02,Robert E. DeWreede,2C141D5A-1850-354F-9B1C-9B1D647C9C10,11/10/2019
A5389,X,Chnoospora,pacifica,Mexico,1934 Mar 02-03,Wm. R. Taylor,B5E41FC2-5027-ED45-A695-C2A0E2AB176B,11/10/2019
A24273,X,Chnoospora,pacifica,Philippines,1964 Apr 29,G. T. Velasquez,18FC29CB-AEBD-9440-A4D5-5B5EEC04D7D1,11/10/2019
A2903,X,Chnoospora,pannosa,United States,1900 May 19,Josephine E. Tilden,50F3C85D-6200-EA49-A515-48FBFE24BF1E,11/10/2019
A1621,X,Chnoospora,sp.,United States,1955 Oct 22,M. R. Palmer,966666F0-E1DE-4442-BBC8-AFED239A2F84,11/10/2019
A61673,X,Chnoospora,sp.,Brazil,1980 Mar 03,Don Smith,779DDFCC-BF91-4746-94EB-572B4915ED13,11/10/2019
A85200,X,Chordaria,chordaeformis,United States,8/7/2002,Sandra C. Lindstrom,77F05EE0-31C6-714A-940E-9F1D91D93506,11/10/2019
A89051,X,Chordaria,chordaeformis,United States,2009 Jul 23,Mandy R. Lindeberg,74C55C0C-B48C-FC41-8165-36871F5D9626,11/10/2019
A89364,X,Chordaria,chordaeformis,Japan,2003 Aug 14,T. Kitayama,C223D1FA-1D8F-674C-B276-C692D4807775,11/10/2019
A49601,X,Chordaria,cladosiphon,Australia,1967 Jan 23,H.B.S. Womersley,CEB6A1FF-4C34-5D46-9F37-950171F27B13,11/10/2019
A49602,X,Chordaria,cladosiphon,Australia,1967 Jan 23,H.B.S. Womersley,7E135F98-4CF0-8F44-A43B-BB923C0BDAC6,11/10/2019
A46350,X,Chordaria,dictyosiphon,New Zealand,1945 Apr 10,Victor W. Lindauer,E950F46A-1E08-3440-944C-1545B678D3E1,11/10/2019
A4672,X,Chordaria,dictyosiphon,Unknown,[unknown],Victor W. Lindauer,BB54A580-3943-FE4A-B0ED-D68FA6030F25,11/10/2019
A218,X,Chordaria,flagelliformis,United States,1917 Jul,N. L. Gardner,43C19281-CE00-D942-9EAF-93E4CF240287,11/10/2019
A14279,X,Chordaria,flagelliformis,United States,1960 Jul 09,Tom B. Widdowson,E97583EF-89F4-C147-BE49-33C361C1EEE9,11/10/2019
A14273,X,Chordaria,flagelliformis,United States,1960 Jul 09,Tom B. Widdowson,FA0311AC-6B08-5B4F-9CBB-57EEB56BE5A8,11/10/2019
A14326,X,Chordaria,flagelliformis,United States,1960 Jul 09,Tom B. Widdowson,A6DDFE29-6D0D-4D4C-9CEF-7AB299E39CD0,11/10/2019
A14323,X,Chordaria,flagelliformis,United States,1960 Jul 09,Tom B. Widdowson,7CF2153C-D59F-AD44-9A04-77688B1FC090,11/10/2019
A14344,X,Chordaria,flagelliformis,United States,1960 Jul 09,Tom B. Widdowson,DF963CCD-7CDF-1B43-A011-D471331D15BD,11/10/2019
A14341,X,Chordaria,flagelliformis,United States,1960 Jul 09,Tom B. Widdowson,C86B2777-6BA8-2A42-B1E3-06F835767408,11/10/2019
A9725,X,Chordaria,flagelliformis,United States,1960 Jun 28,Tom B. Widdowson,41795FEC-AADE-554E-A150-464430CA8651,11/10/2019
A9736,X,Chordaria,flagelliformis,United States,1960 Jun 28,Tom B. Widdowson,538CE0FE-CDC1-4348-AAF0-0BEEAE4FBF64,11/10/2019
A9183,X,Chordaria,flagelliformis,United States,1960 Jun 25,Tom B. Widdowson,6FDA9454-D2D7-054D-B6F5-B02F8EE7C9AF,11/10/2019
A14215,X,Chordaria,flagelliformis,United States,1960 Jul 07,Tom B. Widdowson,B4AF51D6-0DF7-3343-804E-839F65777E4E,11/10/2019
A9458,X,Chordaria,flagelliformis,United States,1960 Jul 08,Tom B. Widdowson,A0865425-3A75-D34D-A24D-B2D4E57FADCB,11/10/2019
A9440,X,Chordaria,flagelliformis,United States,1960 Jul 08,Tom B. Widdowson,A055FBC9-ABF8-FF4F-891B-69535F577187,11/10/2019
A14190,X,Chordaria,flagelliformis,United States,1960 Jul 08,Tom B. Widdowson,672F3CD7-B703-6B4B-BA15-8292201363E1,11/10/2019
A14189,X,Chordaria,flagelliformis,United States,1960 Jul 08,Tom B. Widdowson,83893FE5-75C4-6B4A-8DAB-E5C5838F5DA8,11/10/2019
A14188,X,Chordaria,flagelliformis,United States,1960 Jul 08,Tom B. Widdowson,F68B1947-F57B-7F4C-AD2D-CF6DF9E14802,11/10/2019
A14187,X,Chordaria,flagelliformis,United States,1960 Jul 08,Tom B. Widdowson,FE1F6E9E-EBCE-204C-862B-FE875E1FAB01,11/10/2019
A14191,X,Chordaria,flagelliformis,United States,1960 Jul 08,Tom B. Widdowson,D8DE275A-25D7-4542-BE1F-E622DF912B94,11/10/2019
A9748,X,Chordaria,flagelliformis,United States,1960 Jul 11,Tom B. Widdowson,D1F40AE4-7A8A-8F41-B7BA-726CB382C1E8,11/10/2019
A10605,X,Chordaria,flagelliformis,United States,1960 Jul 11,Tom B. Widdowson,10A1E2ED-7E70-6F41-90C2-DDD0938D73BF,11/10/2019
A10607,X,Chordaria,flagelliformis,United States,1960 Jul 11,Tom B. Widdowson,FA3C9A04-5636-5345-8CC4-E495B38988EA,11/10/2019
A10604,X,Chordaria,flagelliformis,United States,1960 Jul 11,Tom B. Widdowson,4C996AC3-FF09-AD43-8F81-ACA79C7FD307,11/10/2019
A10606,X,Chordaria,flagelliformis,United States,1960 Jul 11,Tom B. Widdowson,ECE493CA-C04B-9241-940C-DA60A364E061,11/10/2019
A13017,X,Chordaria,flagelliformis,United States,1960 Jul 12,Tom B. Widdowson,3F352C50-4A5E-0F4D-95D7-51D8BAE87CCC,11/10/2019
A9292,X,Chordaria,flagelliformis,United States,1960 Jul 13,Tom B. Widdowson,91587016-CBE2-C24E-ADA3-F6757708B352,11/10/2019
A9726,X,Chordaria,flagelliformis,United States,1960 Jun 28,Tom B. Widdowson,8E4D2C3B-2366-5144-8FBF-C70C924C8AC2,11/10/2019
A9655,X,Chordaria,flagelliformis,United States,1960 Jun 27,Tom B. Widdowson,9F897D71-8F56-BF4D-87A5-861F0DDE009D,11/10/2019
A9291,X,Chordaria,flagelliformis,United States,1960 Jul 06,Tom B. Widdowson,25EE5C8D-531A-BB4B-BB12-B7E9003A89E9,11/10/2019
A9395,X,Chordaria,flagelliformis,United States,1960 Jul 06,Tom B. Widdowson,1A58E94E-4BFC-124B-A17B-F9FE9D564C2B,11/10/2019
A9804,X,Chordaria,flagelliformis,United States,1960 Jun 23,Tom B. Widdowson,7495A98C-45C7-094A-99B0-23A7F17B731D,11/10/2019
A9808,X,Chordaria,flagelliformis,United States,1960 Jun 23,Tom B. Widdowson,2832D87A-455A-024C-93C2-0A6C1EB02C3C,11/10/2019
A9754,X,Chordaria,flagelliformis,United States,1960 Jul 11,Tom B. Widdowson,CB795225-C6CE-154E-BDE2-5603D31136AD,11/10/2019
A9783,X,Chordaria,flagelliformis,United States,1960 Jul 08,Tom B. Widdowson,D7BA6EB9-2FBA-9B49-8629-AA62770C0CFC,11/10/2019
